c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
blanc,2038,Araqua-pintado,8,,2.7576e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
marrón,2120,Macreuse à bec jaune,2,,1.2703e+06,"Blue Copper, ""Varied Blue""","""If you are going through hell, keep going."", Sir Winston Churchill"
ébène,2102,Malvasía Cabeciblanca,8,Asiatic Lion,2.09814e+06,Reakirt's Blue,"'The Odyssey', Homer"
Red-violet,2125,Tüpfelsumpfhuhn,5,,1.44005e+06,Ox-Eyed Satyr,"'The Godfather', Mario Puzo"
púrpura,2105,Weißwangengans,8,Asiatic Cheetah,1.06797e+06,Peacock Butterfly,"""Where's Wally?"", Martin Handford"
白湯,2118,Орёл,8,,1.29499e+06,Peacock Butterfly,"""There are no facts, only interpretations."", Friedrich Nietzsche"
marrón,2060,Голубь,8,Leopard,1.44724e+06,Ringle,"'The Grapes of Wrath', John Steinbeck"
zitronengelb,2135,Puffin des Baléares,1,Asiatic Lion,2.84154e+06,Ox-Eyed Satyr,"'The Mark of Zorro', Johnston McCulley"
чёрный,2145,Голубь,8,Clouded Leopard,192363,Sooty Copper,"'1984', George Orwell"
schneeweiß,2091,Löffelente,5,,2.17886e+06,"""Verdi"" Sandhill Skipper","""There are no facts, only interpretations."", Friedrich Nietzsche"
altrosa,2110,Purpurreiher,8,Asiatic Lion,1.34247e+06,Ringle,"'The Mark of Zorro', Johnston McCulley"
noir,2043,Weißwangengans,8,,2.06181e+06,Arctic Skipper,"'1984', George Orwell"
céruse,2077,Weißwangengans,8,Mountain Lion,1.12738e+06,Pine White,"""Where's Wally?"", Martin Handford"
púrpura,2100,Marreca-cabocla,4,Mountain Lion,4.15605e+06,Gulf Fritillary,"""Moral indignation is jealousy with a halo."", H. G. Wells"
dorado,2083,Weißwangengans,8,,4.33766e+06,Pine White,"'Catch-22', Joseph Heller"
schneeweiß,2133,Macreuse à bec jaune,8,,3.07752e+06,Sooty Copper,"'Watership Down', Richard Adams"
schneeweiß,2111,Araqua-pintado,5,Lion,2.6192e+06,Ox-Eyed Satyr,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
céruse,2069,Tüpfelsumpfhuhn,5,Clouded Leopard,989946,Peacock Butterfly,"'A Tale of Two Cities', Charles Dickens"
kohlrabenschwarz,2108,Tüpfelsumpfhuhn,8,,3.46937e+06,"""Agricultural"" Melissa Blue","""Roget's Thesaurus"", Peter Mark Roget"
dorado,2097,Silbón Europeo,5,,547234,"Faun, Green Comma","'Shōgun', James Clavell"
café,2099,Macuco,8,Amur Leopard,1.00836e+06,Ringle,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
pechschwarz,2095,Macreuse à bec jaune,8,Cougar,1.39831e+06,"Orange Sulphur, Alfalfa Butterfly","""Moral indignation is jealousy with a halo."", H. G. Wells"
noir,2113,Goéland d'Amérique,8,Lion,2.53012e+06,Edith's Checkerspot,"""If you are going through hell, keep going."", Sir Winston Churchill"
marrón,2107,Pipit de Godlewski,8,,1.02224e+06,Peacock Butterfly,"'The Grapes of Wrath', John Steinbeck"
kohlrabenschwarz,2066,Pipit de Godlewski,8,,1.58874e+06,Peacock Butterfly,"'The Exorcist', William Peter Blatty"
marrón,2048,Macreuse à bec jaune,5,Asiatic Lion,906825,"""Verdi"" Sandhill Skipper","'The Grapes of Wrath', John Steinbeck"
Indigo,2031,Purpurreiher,8,Asiatic Cheetah,979929,Gray-Veined White,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
zitronengelb,2056,Malvasía Cabeciblanca,5,Jaguar,3.93509e+06,Painted Lady,"'A Tale of Two Cities', Charles Dickens"
красный,2132,Pipit de Godlewski,8,,1.99545e+06,"Blue Copper, ""Varied Blue""","'1984', George Orwell"
白湯,2115,Macreuse à bec jaune,8,Lion,2.39481e+06,Sooty Copper,"'The Godfather', Mario Puzo"
schneeweiß,2134,Лебедь,8,Clouded Leopard,892802,Red Admiral,"'20,000 Leagues under the Sea', Jules Verne"
красный,2139,Araqua-pintado,8,,750491,"""Verdi"" Sandhill Skipper","'The Odyssey', Homer"
schneeweiß,2141,Löffelente,4,Snow Leopard,1.88864e+06,"Icarioides Blue, Boisduval's Blue","'The Godfather', Mario Puzo"
blutrot,2139,Goéland d'Amérique,8,,3.71495e+06,Gulf Fritillary,"'The Godfather', Mario Puzo"
серый,2028,Löffelente,8,,226278,Edith's Checkerspot,"""Where's Wally?"", Martin Handford"
濡れ羽色,2149,Löffelente,9,,194153,Sooty Copper,"'The Exorcist', William Peter Blatty"
濡れ羽色,2076,Голубь,8,,1.75231e+06,Pine White,"'20,000 Leagues under the Sea', Jules Verne"
Cerise,2117,Macreuse à bec jaune,8,Leopard,245801,"Orange Sulphur, Alfalfa Butterfly","'A Tale of Two Cities', Charles Dickens"
rouge,2114,Purpurreiher,2,Leopard,1.05395e+06,Ox-Eyed Satyr,"'The Exorcist', William Peter Blatty"
marrón,2006,Macreuse à bec jaune,8,,1.06338e+06,Gray-Veined White,"'Catch-22', Joseph Heller"
fumée,2141,Pipit de Godlewski,8,Jaguar,488886,Ringle,"'Catch-22', Joseph Heller"
schneeweiß,2059,Purpurreiher,8,Asiatic Lion,1.83452e+06,Gulf Fritillary,"'The Exorcist', William Peter Blatty"
Red-violet,2080,Tüpfelsumpfhuhn,8,Leopard,2.14648e+06,Dainty Sulphur,"'The Grapes of Wrath', John Steinbeck"
rouge,2147,Silbón Europeo,8,Jaguar,1.01657e+06,Pine White,"'Catch-22', Joseph Heller"
schneeweiß,2118,Tüpfelsumpfhuhn,8,Cheetah,2.37291e+06,Pine White,"'Jaws', Peter Benchley"
rouge,2079,Weißwangengans,1,,819723,Ringle,"'Shōgun', James Clavell"
schneeweiß,2101,Löffelente,8,Leopard,125668,"Orange Sulphur, Alfalfa Butterfly","'The Mark of Zorro', Johnston McCulley"
暗紅色/暗赤色,2140,Weißwangengans,8,Jaguar,1.22495e+06,Behr's Hairstreak,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
kohlrabenschwarz,2144,Лебедь,8,Jaguar,568586,"Icarioides Blue, Boisduval's Blue","'The Godfather', Mario Puzo"
Cerise,2134,Macuco,8,Lion,2.44441e+06,Pine White,"'1984', George Orwell"
jaune,2055,Pica-pau-de-penacho,8,,811541,Ox-Eyed Satyr,"'Dune', Frank Herbert"
púrpura,2108,Purpurreiher,8,Asiatic Lion,1.76492e+06,Gulf Fritillary,"""Charlotte's Web"", E.B. White"
türkis,2029,Purpurreiher,8,Leopard,143825,Dainty Sulphur,"'Jaws', Peter Benchley"
白湯,2088,Pipit de Godlewski,8,,789275,Gulf Fritillary,"'The Mark of Zorro', Johnston McCulley"
púrpura,2006,Pipit de Godlewski,5,,2.76606e+06,Sooty Copper,"'The Godfather', Mario Puzo"
ébène,2004,Macreuse à bec jaune,8,,2.51892e+06,"Orange Sulphur, Alfalfa Butterfly","'20,000 Leagues under the Sea', Jules Verne"
dorado,2130,Purpurreiher,8,,635996,Peacock Butterfly,"'Shōgun', James Clavell"
pechschwarz,2091,Malvasía Cabeciblanca,4,,1.1006e+06,Gray-Veined White,"'The Hobbit', J.R.R. Tolkien"
blutrot,2079,Голубь,8,,1.92075e+06,Gulf Fritillary,"'Dune', Frank Herbert"
altrosa,2144,Macreuse à bec jaune,4,Clouded Leopard,370490,"Blue Copper, ""Varied Blue""","""Charlotte's Web"", E.B. White"
Grünspan,2089,Macreuse à bec jaune,8,Leopard,1.45748e+06,Gray-Veined White,"'The Grapes of Wrath', John Steinbeck"
violeta,2123,Araqua-pintado,8,Asiatic Cheetah,3.39033e+06,Peacock Butterfly,"'Shōgun', James Clavell"
blanc,2087,Löffelente,5,Lion,3.69579e+06,Pine White,"'The Godfather', Mario Puzo"
rouge,2131,Silbón Europeo,8,,1.60055e+06,Gray-Veined White,"""Roget's Thesaurus"", Peter Mark Roget"
café,2096,Воробей,8,Cougar,571541,Dainty Sulphur,"'1984', George Orwell"
café,2135,Araqua-pintado,5,,2.90019e+06,"""Verdi"" Sandhill Skipper","'1984', George Orwell"
púrpura,2106,Silbón Europeo,5,,2.15749e+06,"""Agricultural"" Melissa Blue","'The Exorcist', William Peter Blatty"
pechschwarz,2136,Marreca-cabocla,8,Snow Leopard,736248,Gray-Veined White,"'The Exorcist', William Peter Blatty"
altrosa,2141,Löffelente,8,Asiatic Cheetah,389804,Monarch,"'1984', George Orwell"
jaune,2149,Лебедь,8,Lion,1.86538e+06,Mazarine Blue,"""There are no facts, only interpretations."", Friedrich Nietzsche"
zitronengelb,2146,Araqua-pintado,8,Lion,3.55419e+06,Sandhill Skipper,"'The Godfather', Mario Puzo"
céruse,2092,Tüpfelsumpfhuhn,8,,1.14114e+06,"Blue Copper, ""Varied Blue""","'Shōgun', James Clavell"
altrosa,2119,Purpurreiher,8,Asiatic Lion,4.00788e+06,"Faun, Green Comma","'Dune', Frank Herbert"
pechschwarz,2143,Araqua-pintado,8,,3.12313e+06,Gulf Fritillary,"'Jaws', Peter Benchley"
Red-violet,2058,Araqua-pintado,5,Clouded Leopard,4.01919e+06,Gray-Veined White,"""There are no facts, only interpretations."", Friedrich Nietzsche"
türkis,2148,Орёл,8,Leopard,223863,Peacock Butterfly,"'A Tale of Two Cities', Charles Dickens"
jaune,2091,Purpurreiher,8,Leopard,2.24955e+06,Pine White,"'Shōgun', James Clavell"
noir,2095,Araqua-pintado,9,Lion,1.33014e+06,Ox-Eyed Satyr,"'Catch-22', Joseph Heller"
pechschwarz,2032,Malvasía Cabeciblanca,8,,441795,Pine White,"'The Grapes of Wrath', John Steinbeck"
серый,2117,Malvasía Cabeciblanca,4,,1.78443e+06,Arctic Skipper,"'Watership Down', Richard Adams"
schneeweiß,2055,Macreuse à bec jaune,8,Cheetah,1.45599e+06,Acmon Blue,"'Jaws', Peter Benchley"
marrón,2063,Porrón Islándico,4,Clouded Leopard,2.24588e+06,Gulf Fritillary,"""Moral indignation is jealousy with a halo."", H. G. Wells"
Red-violet,2123,Pipit de Godlewski,8,,1.19082e+06,Gray-Veined White,"'The Exorcist', William Peter Blatty"
Grünspan,2115,Porrón Islándico,8,Lion,2.67178e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
blutrot,2031,Purpurreiher,8,,1.33239e+06,Holly Blue,"""Moral indignation is jealousy with a halo."", H. G. Wells"
blutrot,2090,Орёл,8,Asiatic Lion,1.54363e+06,Ringle,"'Dune', Frank Herbert"
Cerise,2118,Marreca-cabocla,8,,3.24376e+06,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
jaune,2130,Puffin des Baléares,8,Lion,243333,Ringle,"'The Exorcist', William Peter Blatty"
púrpura,2054,Löffelente,4,Snow Leopard,124390,"Faun, Green Comma","'20,000 Leagues under the Sea', Jules Verne"
fumée,2114,Pipit de Godlewski,8,,498995,"""Verdi"" Sandhill Skipper","'A Tale of Two Cities', Charles Dickens"
жёлтый,2103,Воробей,4,Lion,820455,"Faun, Green Comma","'The Grapes of Wrath', John Steinbeck"
zitronengelb,2118,Porrón Islándico,8,Snow Leopard,446240,Ringle,"'The Mark of Zorro', Johnston McCulley"
altrosa,2140,Macreuse à bec jaune,2,Asiatic Cheetah,3.12547e+06,Ox-Eyed Satyr,"'Jaws', Peter Benchley"
café,2145,Araqua-pintado,8,,1.92925e+06,Sooty Copper,"'A Tale of Two Cities', Charles Dickens"
pechschwarz,2068,Macreuse à bec jaune,8,,3.53739e+06,"Orange Sulphur, Alfalfa Butterfly","'The Mark of Zorro', Johnston McCulley"
blutrot,2100,Macuco,8,Clouded Leopard,1.00019e+06,Behr's Hairstreak,"""Charlotte's Web"", E.B. White"
jaune,2106,Pipit de Godlewski,8,Jaguar,2.27058e+06,Gulf Fritillary,"'Jaws', Peter Benchley"
blutrot,2123,Macreuse à bec jaune,8,,1.88358e+06,Gulf Fritillary,"""Moral indignation is jealousy with a halo."", H. G. Wells"
jaune,2139,Воробей,5,,1.46056e+06,Painted Lady,"'The Godfather', Mario Puzo"
céruse,2024,Marreca-cabocla,4,,909564,Purple Hairstreak,"""Charlotte's Web"", E.B. White"
pechschwarz,2084,Лебедь,8,Jaguar,1.122e+06,Sooty Copper,"""There are no facts, only interpretations."", Friedrich Nietzsche"
Orange-red,2108,Tüpfelsumpfhuhn,2,Lion,3.02181e+06,Moss' Elfin,"""Do, or do not. There is no 'try'."", Yoda"
Grünspan,2048,Macreuse à bec jaune,1,Cougar,2.07264e+06,Indra Swallowtail,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
blutrot,2058,Macreuse à bec jaune,5,Leopard,1.92477e+06,Dainty Sulphur,"'Don Quixote', Miguel de Cervantes"
jaune,2149,Pipit de Godlewski,8,Leopard,668936,Behr's Hairstreak,"'The Mark of Zorro', Johnston McCulley"
dorado,2103,Löffelente,2,Jaguar,2.92584e+06,Moss' Elfin,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
blutrot,2127,Silbón Europeo,1,Asiatic Cheetah,1.0513e+06,"Faun, Green Comma","'The Godfather', Mario Puzo"
altrosa,2105,Pipit de Godlewski,8,Leopard,499321,"Orange Sulphur, Alfalfa Butterfly","'1984', George Orwell"
fumée,2113,Purpurreiher,8,,2.64997e+06,Gray-Veined White,"'Watership Down', Richard Adams"
púrpura,2094,Pipit de Godlewski,4,Cougar,2.65261e+06,Gulf Fritillary,"'20,000 Leagues under the Sea', Jules Verne"
púrpura,2051,Pipit de Godlewski,5,Jaguar,484646,Sooty Copper,"'The Exorcist', William Peter Blatty"
pechschwarz,2144,Weißwangengans,8,Asiatic Lion,3.69526e+06,Ringle,"'The Mark of Zorro', Johnston McCulley"
rouge,2110,Purpurreiher,8,,1.16795e+06,Edith's Copper,"'The Godfather', Mario Puzo"
schneeweiß,2056,Weißwangengans,8,Jaguar,2.26381e+06,Painted Lady,"'The Hobbit', J.R.R. Tolkien"
blutrot,2133,Macreuse à bec jaune,0,Clouded Leopard,2.77257e+06,"""Agricultural"" Melissa Blue","'A Tale of Two Cities', Charles Dickens"
pechschwarz,2023,Puffin des Baléares,1,Leopard,164002,Ringle,"""There are no facts, only interpretations."", Friedrich Nietzsche"
schneeweiß,2143,Macreuse à bec jaune,8,,1.33596e+06,Edith's Copper,"'The Mark of Zorro', Johnston McCulley"
altrosa,2075,Löffelente,5,,324388,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
schneeweiß,2139,Орёл,8,Leopard,1.10001e+06,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
Grünspan,2118,Tüpfelsumpfhuhn,1,Amur Leopard,4.08045e+06,Ox-Eyed Satyr,"'The Exorcist', William Peter Blatty"
красный,2120,Silbón Europeo,8,,2.00913e+06,Moss' Elfin,"""Charlotte's Web"", E.B. White"
blutrot,2111,Silbón Europeo,5,Lion,332337,Gray-Veined White,"""There are no facts, only interpretations."", Friedrich Nietzsche"
türkis,2049,Pipit de Godlewski,8,,778483,"""Verdi"" Sandhill Skipper","""There are no facts, only interpretations."", Friedrich Nietzsche"
dorado,2066,Araqua-pintado,8,Leopard,180351,Acmon Blue,"'Don Quixote', Miguel de Cervantes"
чёрный,2037,Araqua-pintado,8,Mountain Lion,712591,Mylitta Crescent,"'A Tale of Two Cities', Charles Dickens"
altrosa,2104,Pipit de Godlewski,8,Jaguar,1.07736e+06,Ringle,"'Watership Down', Richard Adams"
серый,2121,Puffin des Baléares,8,Lion,960513,Ringle,"'The Exorcist', William Peter Blatty"
jaune,2089,Goéland d'Amérique,8,Leopard,1.17418e+06,Pine White,"'The Grapes of Wrath', John Steinbeck"
türkis,2143,Puffin des Baléares,4,Snow Leopard,565911,Ringle,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
jaune,2131,Pipit de Godlewski,8,Clouded Leopard,2.17386e+06,Ox-Eyed Satyr,"""If you are going through hell, keep going."", Sir Winston Churchill"
altrosa,2108,Malvasía Cabeciblanca,8,Amur Leopard,3.23347e+06,Edith's Copper,"'The Godfather', Mario Puzo"
rouge,2126,Macreuse à bec jaune,4,Snow Leopard,2.46586e+06,Pine White,"'The Exorcist', William Peter Blatty"
pechschwarz,2104,Löffelente,8,Asiatic Lion,1.64327e+06,Holly Blue,"""Roget's Thesaurus"", Peter Mark Roget"
blutrot,2079,Орёл,8,,2.11943e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
Grünspan,2025,Malvasía Cabeciblanca,8,,1.12968e+06,Edith's Copper,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
blutrot,2106,Araqua-pintado,8,Clouded Leopard,2.15876e+06,Ox-Eyed Satyr,"""Charlotte's Web"", E.B. White"
blutrot,2097,Голубь,8,Mountain Lion,2.9242e+06,"""Agricultural"" Melissa Blue","'The Mark of Zorro', Johnston McCulley"
marrón,2113,Weißwangengans,8,,2.5112e+06,Gulf Fritillary,"'Watership Down', Richard Adams"
pechschwarz,2120,Silbón Europeo,8,Mountain Lion,3.33192e+06,"Faun, Green Comma","'The Godfather', Mario Puzo"
濡れ羽色,2147,Purpurreiher,4,,618543,Monarch,"'The Exorcist', William Peter Blatty"
pechschwarz,2061,Голубь,8,,2.39235e+06,Ringle,"'Don Quixote', Miguel de Cervantes"
blutrot,2141,Silbón Europeo,8,Asiatic Lion,1.09928e+06,Ox-Eyed Satyr,"""Moral indignation is jealousy with a halo."", H. G. Wells"
濡れ羽色,2108,Löffelente,8,Cougar,1.02156e+06,"Faun, Green Comma","'1984', George Orwell"
blutrot,2143,Weißwangengans,8,,690389,Sooty Copper,"'Watership Down', Richard Adams"
púrpura,2072,Purpurreiher,8,,3.6311e+06,Gulf Fritillary,"'The Grapes of Wrath', John Steinbeck"
púrpura,2122,Pipit de Godlewski,10,Asiatic Cheetah,1.64909e+06,"Faun, Green Comma","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
黄枯茶,2062,Purpurreiher,8,Cheetah,2.3302e+06,"""Agricultural"" Melissa Blue","'A Tale of Two Cities', Charles Dickens"
rouge,2085,Silbón Europeo,8,,1.26515e+06,Gulf Fritillary,"'The Grapes of Wrath', John Steinbeck"
blanc,2072,Silbón Europeo,8,Jaguar,118166,Peacock Butterfly,"""Roget's Thesaurus"", Peter Mark Roget"
marrón,2105,Macuco,8,,4.49691e+06,Pine White,"'The Mark of Zorro', Johnston McCulley"
blutrot,2138,Araqua-pintado,8,Snow Leopard,805557,Dainty Sulphur,"""Moral indignation is jealousy with a halo."", H. G. Wells"
pechschwarz,2046,Silbón Europeo,8,Jaguar,4.46195e+06,Gulf Fritillary,"'Jaws', Peter Benchley"
rouge,2118,Голубь,8,,1.3863e+06,Indra Swallowtail,"""Moral indignation is jealousy with a halo."", H. G. Wells"
Cerise,2100,Marreca-cabocla,2,Cougar,619849,Holly Blue,"'The Godfather', Mario Puzo"
Grünspan,2143,Silbón Europeo,8,Lion,1.61868e+06,"""Verdi"" Sandhill Skipper","""Where's Wally?"", Martin Handford"
blutrot,2024,Weißwangengans,7,Jaguar,1.0937e+06,Indra Swallowtail,"'Don Quixote', Miguel de Cervantes"
jaune,2107,Silbón Europeo,8,,1.4635e+06,Indra Swallowtail,"""Charlotte's Web"", E.B. White"
jaune,2149,Weißwangengans,8,Cheetah,198527,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
Grünspan,2089,Орёл,8,Asiatic Lion,2.03285e+06,Edith's Copper,"'A Tale of Two Cities', Charles Dickens"
黄枯茶,2080,Голубь,8,,3.01423e+06,Edith's Copper,"'The Hobbit', J.R.R. Tolkien"
Cerise,2115,Silbón Europeo,8,,886770,"Crown Fritillary, Coronis Fritillary","'The Hobbit', J.R.R. Tolkien"
Orange-red,2144,Malvasía Cabeciblanca,8,,4.56181e+06,Pine White,"""Where's Wally?"", Martin Handford"
kohlrabenschwarz,2032,Araqua-pintado,8,,1.71356e+06,Holly Blue,"'The Odyssey', Homer"
fumée,2124,Löffelente,8,Leopard,1.0758e+06,Gulf Fritillary,"'Watership Down', Richard Adams"
marrón,2079,Weißwangengans,5,Asiatic Lion,1.40766e+06,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
zitronengelb,2134,Weißwangengans,8,,797284,Peacock Butterfly,"'Watership Down', Richard Adams"
kohlrabenschwarz,2086,Орёл,4,Lion,561511,Sooty Copper,"""Where's Wally?"", Martin Handford"
blanc,2147,Weißwangengans,8,Clouded Leopard,1.7491e+06,"Orange Sulphur, Alfalfa Butterfly","""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
rouge,2071,Purpurreiher,8,Clouded Leopard,652028,Pine White,"'The Grapes of Wrath', John Steinbeck"
blutrot,2131,Weißwangengans,8,,2.55714e+06,Moss' Elfin,"""Do, or do not. There is no 'try'."", Yoda"
rouge,2139,Ánsar Piquicorto,8,Asiatic Cheetah,897910,Holly Blue,"'1984', George Orwell"
暗紅色/暗赤色,2104,Tüpfelsumpfhuhn,8,Snow Leopard,253634,Edith's Checkerspot,"'Catch-22', Joseph Heller"
zitronengelb,2141,Ánsar Piquicorto,2,Cougar,1.46327e+06,Dainty Sulphur,"""Where's Wally?"", Martin Handford"
Grünspan,2124,Silbón Europeo,1,Asiatic Cheetah,605266,Anise Swallowtail,"'The Hobbit', J.R.R. Tolkien"
