c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
türkis,2077,Löffelente,4,,1.90615e+06,983666,1.98163e+06,
коричневый,2053,Голубь,1,Leopard,48590.9,605177,8.24369e+06,
blutrot,2140,Pipit de Godlewski,2,Leopard,2.39474e+06,631698,3.7988e+06,
jaune,2077,Araqua-pintado,1,Snow Leopard,1.58347e+06,98493.1,374094,
jaune,2126,Tüpfelsumpfhuhn,0,,2.03178e+06,93476.4,4.84066e+06,
schneeweiß,2100,Malvasía Cabeciblanca,2,Clouded Leopard,317898,803214,1.25093e+07,
коричневый,2029,Macuco,0,Lion,312615,1.02667e+06,1.36818e+07,
pechschwarz,2145,Macreuse à bec jaune,0,,653506,132164,7.84848e+06,
rouge,2102,Malvasía Cabeciblanca,4,,1.92055e+06,943655,1.14826e+07,
коричневый,2121,Weißwangengans,1,,2.24236e+06,694299,5.31137e+06,
kohlrabenschwarz,2042,Pipit de Godlewski,4,Amur Leopard,996013,493843,3.60456e+06,
жёлтый,2048,Purpurreiher,4,,176665,212468,124038,
blutrot,2139,Silbón Europeo,2,Cougar,835238,747024,1.06807e+07,
серый,2067,Araqua-pintado,4,Amur Leopard,1.64087e+06,44011.1,637756,
türkis,2143,Löffelente,1,Leopard,1.41323e+06,383763,1.1907e+07,
fumée,2145,Malvasía Cabeciblanca,4,,3.07423e+06,45672.1,2.69726e+06,
暗紅色/暗赤色,2104,Лебедь,1,Asiatic Lion,3.30691e+06,699429,1.46237e+06,
dorado,2136,Araqua-pintado,2,,2.31467e+06,325113,6.31961e+06,
kohlrabenschwarz,2099,Araqua-pintado,0,,3.9564e+06,800090,2.97023e+06,
schneeweiß,2099,Pipit de Godlewski,3,,779075,205661,452302,
púrpura,2092,Purpurreiher,1,Jaguar,1.96953e+06,600493,1.06671e+06,
türkis,2146,Puffin des Baléares,1,,2.13331e+06,184894,3.7045e+06,
kohlrabenschwarz,2038,Silbón Europeo,4,Leopard,4.14807e+06,529739,5.39211e+06,
altrosa,2149,Malvasía Cabeciblanca,4,Asiatic Lion,272187,420631,623718,
Red-violet,2082,Macreuse à bec jaune,1,Leopard,187786,1.05343e+06,1.05466e+07,
Grünspan,2039,Weißwangengans,0,Leopard,1.98923e+06,843180,5.38007e+06,
pechschwarz,2023,Marreca-cabocla,1,Jaguar,2.74643e+06,761573,6.49883e+06,
серый,2144,Puffin des Baléares,1,,303320,70781.2,3.792e+06,
blutrot,2145,Лебедь,2,Lion,114332,873537,1.12959e+06,
黄枯茶,2113,Marreca-cabocla,4,,1.69323e+06,336809,7.51049e+06,
blutrot,2073,Голубь,4,Amur Leopard,1.2603e+06,1.14591e+06,1.2731e+07,
красный,2121,Malvasía Cabeciblanca,1,,608077,279785,1.27612e+07,
blutrot,2143,Löffelente,4,,2.23114e+06,71414.6,1.20322e+06,
rouge,2115,Pipit de Godlewski,1,Cougar,1.00719e+06,531986,4.84941e+06,
jaune,2019,Weißwangengans,4,Amur Leopard,1.42545e+06,294325,3.38551e+06,
kohlrabenschwarz,2060,Pipit de Godlewski,4,Snow Leopard,2.86831e+06,48376.7,2.03663e+06,
blutrot,2095,Purpurreiher,4,,582738,825280,1.59898e+06,
fumée,2043,Silbón Europeo,4,Cheetah,3.73888e+06,25329.9,7.41793e+06,
púrpura,2112,Malvasía Cabeciblanca,4,Snow Leopard,352117,1.04776e+06,4.87518e+06,
púrpura,2131,Löffelente,2,Asiatic Cheetah,3.11354e+06,239953,2.2868e+06,
жёлтый,2096,Marreca-cabocla,1,Cougar,1.6844e+06,744470,7.42482e+06,
rouge,2046,Pipit de Godlewski,2,,1.22593e+06,141981,1.82569e+06,
púrpura,2146,Ánsar Piquicorto,4,Mountain Lion,1.13167e+06,149278,1.78638e+06,
marrón,2102,Macreuse à bec jaune,0,Clouded Leopard,2.01044e+06,264990,3.89303e+06,
красный,2124,Орёл,1,Clouded Leopard,2.09981e+06,998146,682408,
jaune,2146,Лебедь,1,Leopard,955010,839904,9.89155e+06,
Orange-red,2073,Löffelente,4,,2.1316e+06,323339,3.5784e+06,
rouge,2064,Орёл,4,Leopard,975585,701238,2.07743e+06,
rouge,2095,Орёл,3,Asiatic Lion,4.09982e+06,255047,332602,
blutrot,2145,Pipit de Godlewski,1,Clouded Leopard,3.23041e+06,334059,749359,
kohlrabenschwarz,2121,Purpurreiher,4,,3.57876e+06,685507,8.15195e+06,
rouge,2110,Araqua-pintado,2,,2.77038e+06,651260,5.98606e+06,
violeta,2136,Araqua-pintado,3,Jaguar,3.99281e+06,970599,3.21667e+06,
jaune,2140,Löffelente,2,Asiatic Lion,2.19965e+06,781821,3.84125e+06,
türkis,2132,Purpurreiher,4,Clouded Leopard,903514,362468,1.97416e+06,
pechschwarz,2094,Silbón Europeo,4,Cheetah,1.01389e+06,897815,34887.6,
Orange-red,2025,Löffelente,1,Jaguar,950133,269259,7.7112e+06,
marrón,2006,Pipit de Godlewski,1,Lion,224858,39176.9,2.16185e+06,
Orange-red,2093,Tüpfelsumpfhuhn,2,,686228,160574,755726,
blutrot,2061,Silbón Europeo,2,,3.33933e+06,642356,1.17541e+07,
rouge,2141,Weißwangengans,1,,1.22633e+06,543799,7.28309e+06,
violeta,2080,Araqua-pintado,0,Asiatic Lion,246799,1.03375e+06,1.06552e+07,
violeta,2022,Malvasía Cabeciblanca,1,Jaguar,149506,662995,482541,
rouge,2094,Голубь,1,Asiatic Lion,1.8207e+06,432832,1.15855e+07,
schneeweiß,2106,Marreca-cabocla,2,,3.60902e+06,708727,4.15492e+06,
Grünspan,2076,Голубь,4,Snow Leopard,2.82175e+06,421046,6.15022e+06,
Red-violet,2069,Löffelente,4,Cougar,1.57523e+06,369743,3.80864e+06,
schneeweiß,2077,Weißwangengans,2,Cougar,1.17874e+06,286319,6.2507e+06,
schneeweiß,2114,Tüpfelsumpfhuhn,4,Leopard,2.45334e+06,1.22904e+06,2.85384e+06,
jaune,2100,Macreuse à bec jaune,1,,1.98084e+06,588839,1.18837e+06,
schneeweiß,2108,Malvasía Cabeciblanca,1,Leopard,3.07912e+06,458022,8.99839e+06,
schneeweiß,2142,Орёл,0,,536001,79115.1,1.07922e+07,
café,2145,Macreuse à bec jaune,0,Leopard,260099,867435,5.45778e+06,
altrosa,2140,Weißwangengans,4,Amur Leopard,613881,173048,8.80122e+06,
Red-violet,2143,Ánsar Piquicorto,4,,1.19105e+06,724812,2.41118e+06,
marrón,2122,Pica-pau-de-penacho,2,Cougar,1.89209e+06,468283,7.28934e+06,
красный,2049,Malvasía Cabeciblanca,4,Leopard,481983,723878,4.00928e+06,
blutrot,2149,Tüpfelsumpfhuhn,4,,823246,236266,5.43809e+06,
чёрный,2028,Löffelente,0,,1.60711e+06,227374,1.16671e+07,
blutrot,2106,Tüpfelsumpfhuhn,4,,1.118e+06,1.33904e+06,8.05924e+06,
schneeweiß,2142,Орёл,4,Cheetah,751126,142739,8.56463e+06,
Grünspan,2111,Macuco,4,Asiatic Cheetah,1.03313e+06,927812,1.46527e+06,
café,2143,Pipit de Godlewski,2,Asiatic Lion,903611,277236,2.53789e+06,
Red-violet,2134,Macuco,1,Clouded Leopard,2.66393e+06,95259.7,137639,
серый,2109,Araqua-pintado,4,Cougar,2.8597e+06,623609,8.88299e+06,
blutrot,2076,Голубь,4,Lion,2.32756e+06,43283.1,1.81329e+06,
marrón,2148,Purpurreiher,0,Asiatic Lion,343500,796328,5.50753e+06,
blanc,2114,Purpurreiher,4,Jaguar,719238,417134,174550,
blutrot,2124,Silbón Europeo,2,,744763,155636,8.11902e+06,
schneeweiß,2021,Macreuse à bec jaune,4,Jaguar,1.36043e+06,958105,8.69247e+06,
marrón,2133,Tüpfelsumpfhuhn,1,,348314,317065,1.19505e+07,
schneeweiß,2131,Орёл,2,,202939,852651,1.80141e+06,
Grünspan,2022,Purpurreiher,4,,1.31575e+06,171262,1.00819e+07,
ébène,2124,Silbón Europeo,2,Cheetah,2.82392e+06,181351,510391,
Red-violet,2079,Araqua-pintado,4,Snow Leopard,2.4701e+06,257511,5.84662e+06,
Orange-red,2109,Weißwangengans,2,,738522,421201,4.45018e+06,
marrón,2115,Löffelente,0,Snow Leopard,3.19202e+06,634952,7.22943e+06,
fumée,2138,Macuco,1,Clouded Leopard,340797,1.09779e+06,3.61558e+06,
blutrot,2114,Pipit de Godlewski,1,Lion,2.80082e+06,1.00593e+06,6.90315e+06,
rouge,2062,Лебедь,1,Leopard,3.93837e+06,600003,3.26987e+06,
jaune,2130,Silbón Europeo,2,,173506,18349.4,3.35901e+06,
blutrot,2060,Puffin des Baléares,3,,1.58821e+06,1.13108e+06,3.83909e+06,
pechschwarz,2104,Silbón Europeo,2,Snow Leopard,757391,138570,3.0117e+06,
rouge,2025,Tüpfelsumpfhuhn,1,Asiatic Lion,2.78095e+06,845864,680274,
noir,2143,Malvasía Cabeciblanca,4,Asiatic Lion,3.68695e+06,210031,4.62788e+06,
púrpura,2072,Macreuse à bec jaune,1,Leopard,141988,24354.9,1.32917e+06,
zitronengelb,2101,Araqua-pintado,4,,2.83725e+06,1.02173e+06,3.21482e+06,
jaune,2072,Орёл,2,Asiatic Lion,314515,113083,2.26116e+06,
jaune,2078,Орёл,4,Lion,751798,622773,1.11163e+07,
pechschwarz,2063,Puffin des Baléares,0,,878162,97455.5,1.14136e+06,
violeta,2132,Weißwangengans,1,Leopard,612123,26255.7,1.1228e+07,
blutrot,2097,Weißwangengans,2,Lion,2.20231e+06,567478,1.4864e+06,
fumée,2050,Malvasía Cabeciblanca,1,,3.85058e+06,285769,3.12499e+06,
noir,2032,Marreca-cabocla,4,Snow Leopard,2.66217e+06,750953,4.90561e+06,
ébène,2068,Pipit de Godlewski,0,,714342,926696,1.67146e+06,
blutrot,2088,Löffelente,1,,1.03862e+06,225317,995466,
Grünspan,2106,Орёл,0,Mountain Lion,1.11805e+06,137764,5.22764e+06,
fumée,2142,Weißwangengans,1,Asiatic Lion,4.40562e+06,437726,1.37875e+06,
fumée,2076,Голубь,1,Leopard,1.84969e+06,887637,3.1895e+06,
blutrot,2068,Tüpfelsumpfhuhn,1,Asiatic Cheetah,2.44477e+06,782550,1.31017e+07,
jaune,2090,Weißwangengans,2,Leopard,2.91821e+06,164159,1.20119e+07,
Grünspan,2025,Malvasía Cabeciblanca,1,Cougar,3.2211e+06,827960,1.82305e+06,
rouge,2139,Puffin des Baléares,4,Asiatic Lion,571598,522107,3.65358e+06,
rouge,2112,Purpurreiher,3,Mountain Lion,858491,362282,8.78525e+06,
dorado,2064,Pipit de Godlewski,0,,297535,480503,1.23867e+07,
濡れ羽色,2099,Löffelente,3,Lion,1.59196e+06,209144,2.71525e+06,
pechschwarz,2141,Macreuse à bec jaune,2,Cheetah,2.13711e+06,492064,1.40828e+06,
rouge,2145,Ánsar Piquicorto,1,Lion,2.96082e+06,666499,1.42299e+06,
marrón,2128,Weißwangengans,1,,1.93951e+06,1.01433e+06,2.85589e+06,
schneeweiß,2094,Marreca-cabocla,4,,662504,386053,4.33628e+06,
красный,2144,Araqua-pintado,1,Mountain Lion,1.5954e+06,135757,9.85793e+06,
kohlrabenschwarz,2065,Tüpfelsumpfhuhn,2,Lion,996058,116958,1.05364e+06,
коричневый,2114,Pipit de Godlewski,4,Lion,312900,375513,7.89235e+06,
blutrot,2082,Macreuse à bec jaune,2,,309187,669480,4.0317e+06,
marrón,2140,Macreuse à bec jaune,4,,4.2582e+06,288385,1.94508e+06,
Grünspan,2111,Weißwangengans,4,Clouded Leopard,2.13942e+06,647558,6.21305e+06,
noir,2063,Weißwangengans,2,Leopard,997247,16510.9,5.63776e+06,
schneeweiß,2072,Орёл,1,,3.7238e+06,981501,134028,
rouge,2031,Pipit de Godlewski,4,Cougar,587083,171336,3.82848e+06,
blutrot,2130,Silbón Europeo,4,,1.98809e+06,555863,61029.9,
zitronengelb,2072,Malvasía Cabeciblanca,4,Clouded Leopard,4.70165e+06,803693,609125,
墨色,2106,Pica-pau-de-penacho,4,,1.8622e+06,389962,4.18253e+06,
黄枯茶,2140,Macuco,3,Mountain Lion,1.4808e+06,139229,177702,
marrón,2120,Лебедь,0,Amur Leopard,1.47456e+06,364230,491048,
púrpura,2059,Araqua-pintado,4,Amur Leopard,153887,265896,6.13542e+06,
marrón,2135,Purpurreiher,4,Mountain Lion,2.1725e+06,113718,2.41791e+06,
kohlrabenschwarz,2074,Голубь,2,,251899,707563,3.30366e+06,
Grünspan,2134,Malvasía Cabeciblanca,4,Cheetah,1.71698e+06,593634,9.83805e+06,
白湯,2019,Лебедь,4,Clouded Leopard,2.25324e+06,233480,8.01411e+06,
jaune,2093,Pipit de Godlewski,1,Leopard,778981,75476.4,2.03619e+06,
Grünspan,2096,Araqua-pintado,4,Snow Leopard,4.26529e+06,964936,1.35171e+06,
kohlrabenschwarz,2046,Орёл,2,Asiatic Lion,247058,633740,407278,
墨色,2052,Weißwangengans,3,Leopard,1.92987e+06,624889,1.79587e+06,
白湯,2048,Puffin des Baléares,2,Cheetah,245932,729263,7.29727e+06,
fumée,2148,Puffin des Baléares,4,,741732,129270,1.09075e+06,
pechschwarz,2061,Tüpfelsumpfhuhn,4,Jaguar,1.58831e+06,362277,8.51954e+06,
türkis,2126,Weißwangengans,0,,457845,73800.1,3.71842e+06,
blutrot,2055,Weißwangengans,1,Lion,1.01689e+06,58339.6,1.3019e+07,
violeta,2137,Macuco,0,Jaguar,2.73935e+06,585041,308300,
чёрный,2131,Weißwangengans,4,,1.52324e+06,86234.9,6.09248e+06,
jaune,2073,Голубь,1,,3.55209e+06,530303,6.99276e+06,
Cerise,2058,Araqua-pintado,0,Leopard,627992,415375,9.45593e+06,
café,2138,Weißwangengans,2,,2.15064e+06,1.12953e+06,1.11879e+06,
白湯,2072,Pipit de Godlewski,1,,1.2542e+06,251468,3.25094e+06,
rouge,2102,Pipit de Godlewski,1,,687017,978737,140634,
blutrot,2141,Malvasía Cabeciblanca,0,,3.90579e+06,503352,5.80747e+06,
violeta,2118,Орёл,4,,1.55425e+06,615622,3.79253e+06,
marrón,2095,Puffin des Baléares,4,,1.09275e+06,693150,1.18715e+07,
blutrot,2126,Tüpfelsumpfhuhn,2,Snow Leopard,1.67572e+06,38996.7,3.43438e+06,
ébène,2090,Macreuse à bec jaune,3,,1.69896e+06,364580,8.84536e+06,
púrpura,2078,Puffin des Baléares,2,,502792,925728,5.944e+06,
pechschwarz,2105,Puffin des Baléares,2,Lion,3.06261e+06,648078,1.16575e+07,
blutrot,2114,Macuco,1,Cougar,3.23024e+06,41951.2,6.22188e+06,
türkis,2148,Silbón Europeo,1,,1.75808e+06,1.27252e+06,1.27992e+07,
Grünspan,2004,Pipit de Godlewski,4,Jaguar,2.98441e+06,354060,5.20564e+06,
серый,2136,Löffelente,2,Cheetah,2.56343e+06,286669,6.79499e+06,
blanc,2133,Голубь,1,,501113,617546,7.47184e+06,
altrosa,2030,Pipit de Godlewski,2,Jaguar,4.33058e+06,575484,757005,
marrón,2067,Löffelente,0,Asiatic Lion,2.04994e+06,527194,1.31097e+07,
púrpura,2139,Silbón Europeo,2,Asiatic Lion,571343,237552,1.04464e+07,
jaune,2083,Weißwangengans,1,Snow Leopard,221654,138281,1.08738e+07,
rouge,2134,Purpurreiher,1,Cheetah,1.95829e+06,157506,1.2676e+06,
чёрный,2106,Голубь,1,,1.47899e+06,95689.9,8.98233e+06,
rouge,2141,Puffin des Baléares,4,,727364,889090,4.70986e+06,
Grünspan,2136,Purpurreiher,4,Asiatic Lion,1.32187e+06,295135,2.29007e+06,
türkis,2101,Pipit de Godlewski,1,,876196,298486,2.59011e+06,
blutrot,2098,Macuco,2,Asiatic Lion,3.24066e+06,171222,2.58457e+06,
Red-violet,2056,Silbón Europeo,2,,1.64192e+06,157634,2.02483e+06,
blanc,2066,Weißwangengans,4,,1.7688e+06,44005,8.3979e+06,
púrpura,2105,Pica-pau-de-penacho,1,,475974,612938,4.73416e+06,
rouge,2138,Purpurreiher,4,Asiatic Cheetah,1.20156e+06,279726,3.53329e+06,
blutrot,2145,Purpurreiher,2,Leopard,1.12636e+06,103040,2.32261e+06,
коричневый,2112,Macuco,4,Clouded Leopard,754949,1.17099e+06,418395,
blutrot,2083,Porrón Islándico,1,Asiatic Lion,280981,263122,887424,
türkis,2149,Pipit de Godlewski,3,Asiatic Lion,1.86829e+06,691809,8.28458e+06,
Red-violet,2138,Malvasía Cabeciblanca,2,,2.40553e+06,336720,170802,
schneeweiß,2099,Malvasía Cabeciblanca,2,Jaguar,433306,852573,1.35237e+06,
серый,2143,Weißwangengans,0,Cheetah,3.1719e+06,475368,727490,
céruse,2024,Macuco,2,Cougar,283340,917238,7.9037e+06,
ébène,2056,Воробей,2,Cheetah,1.43525e+06,57890.3,1.08534e+07,
жёлтый,2123,Pipit de Godlewski,4,Leopard,1.25522e+06,1.16245e+06,3.54315e+06,
Red-violet,2094,Tüpfelsumpfhuhn,1,Cheetah,2.36824e+06,281949,443183,
Cerise,2095,Purpurreiher,0,Leopard,840204,240139,855685,
красный,2084,Araqua-pintado,4,,1.98447e+06,527302,655059,
altrosa,2139,Silbón Europeo,1,Cougar,2.77852e+06,95416.6,1.12455e+07,
púrpura,2074,Malvasía Cabeciblanca,2,Jaguar,2.40914e+06,463414,6.87367e+06,
blutrot,2110,Malvasía Cabeciblanca,1,Clouded Leopard,1.76245e+06,107746,5.92109e+06,
marrón,2145,Macreuse à bec jaune,4,Leopard,2.86352e+06,394460,9.29045e+06,
墨色,2074,Araqua-pintado,4,,572961,1.02443e+06,5.56257e+06,
серый,2117,Голубь,2,Asiatic Lion,1.62591e+06,1.00743e+06,8.81622e+06,
schneeweiß,2112,Лебедь,1,Asiatic Cheetah,568522,139586,589620,
schneeweiß,2064,Löffelente,2,Mountain Lion,1.43911e+06,853829,6.88508e+06,
schneeweiß,2065,Purpurreiher,4,Lion,1.5452e+06,1.14942e+06,8.84736e+06,
kohlrabenschwarz,2028,Голубь,1,Lion,3.36438e+06,119828,5.5686e+06,
濡れ羽色,2148,Araqua-pintado,2,,3.96636e+06,472128,5.72193e+06,
jaune,2143,Purpurreiher,2,Leopard,3.66e+06,198401,4.87567e+06,
ébène,2118,Ánsar Piquicorto,4,Jaguar,1.89284e+06,316385,4.27054e+06,
серый,2053,Purpurreiher,2,Mountain Lion,4.02928e+06,517979,5.11068e+06,
rouge,2041,Weißwangengans,2,,1.76609e+06,482398,9.86175e+06,
marrón,2089,Malvasía Cabeciblanca,4,Clouded Leopard,2.37257e+06,267975,536944,
violeta,2078,Weißwangengans,2,Cheetah,1.41989e+06,164317,5.82972e+06,
jaune,2081,Weißwangengans,4,Clouded Leopard,210721,46703.9,2.16854e+06,
dorado,2138,Macuco,1,,2.35752e+06,277898,287616,
pechschwarz,2120,Silbón Europeo,4,,2.17436e+06,288591,1.10518e+06,
dorado,2116,Pipit de Godlewski,2,Cougar,1.39554e+06,368203,6.95515e+06,
púrpura,2040,Голубь,4,Snow Leopard,2.29371e+06,146124,741316,
Cerise,2094,Puffin des Baléares,2,Snow Leopard,1.58776e+06,286000,7.56359e+06,
altrosa,2114,Silbón Europeo,1,,695704,621426,1.40652e+07,
Cerise,2087,Macuco,1,Leopard,768227,15787.3,9.72411e+06,
暗紅色/暗赤色,2092,Macreuse à bec jaune,1,,463878,48728.2,3.29506e+06,
rouge,2141,Macreuse à bec jaune,4,Amur Leopard,2.17924e+06,358466,1.27283e+07,
blutrot,2069,Ánsar Piquicorto,1,Leopard,2.05009e+06,286050,2.84282e+06,
濡れ羽色,2078,Macuco,2,Clouded Leopard,678751,795730,7.08333e+06,
pechschwarz,2091,Лебедь,4,,1.03423e+06,675569,1.33136e+07,
türkis,2130,Weißwangengans,0,Lion,1.12327e+06,269234,5.14474e+06,
púrpura,2080,Marreca-cabocla,4,Lion,1.79589e+06,347918,1.02673e+07,
kohlrabenschwarz,2149,Macreuse à bec jaune,4,Leopard,3.38534e+06,544124,8.42791e+06,
Red-violet,2144,Pipit de Godlewski,4,Clouded Leopard,3.76276e+06,476961,6.58106e+06,
blutrot,2037,Silbón Europeo,0,Leopard,1.58696e+06,339537,2.52537e+06,
濡れ羽色,2129,Purpurreiher,2,,4.09609e+06,625048,1.09548e+07,
чёрный,2063,Puffin des Baléares,4,Jaguar,1.84096e+06,617147,6.03579e+06,
púrpura,2122,Marreca-cabocla,2,,3.23405e+06,415013,4.98231e+06,
ébène,2118,Pipit de Godlewski,4,,1.39041e+06,303660,1.25011e+07,
jaune,2129,Purpurreiher,0,Clouded Leopard,2.56183e+06,927634,3.98655e+06,
pechschwarz,2048,Weißwangengans,1,,4.18554e+06,598898,2.45767e+06,
altrosa,2074,Голубь,2,,1.01162e+06,388523,2.4527e+06,
violeta,2146,Macreuse à bec jaune,2,Lion,4.39999e+06,176096,26443.1,
fumée,2016,Pipit de Godlewski,0,Leopard,2.38905e+06,763625,9.80188e+06,
dorado,2088,Araqua-pintado,1,,2.51891e+06,285348,1.16954e+07,
Orange-red,2040,Pica-pau-de-penacho,4,Snow Leopard,957997,565128,452410,
altrosa,2098,Tüpfelsumpfhuhn,4,Asiatic Lion,459550,47586.9,1.0174e+07,
türkis,2097,Голубь,4,Clouded Leopard,578403,394965,9.90178e+06,
Cerise,2130,Голубь,4,,2.02515e+06,454987,8.85256e+06,
Indigo,2046,Pipit de Godlewski,3,,520496,846484,4.5233e+06,
púrpura,2148,Puffin des Baléares,1,Amur Leopard,1.28505e+06,576982,1.11832e+07,
rouge,2149,Macreuse à bec jaune,4,,540989,796684,193847,
púrpura,2123,Голубь,0,Asiatic Cheetah,2.69353e+06,624028,4.13094e+06,
türkis,2117,Weißwangengans,2,,1.61141e+06,243448,3.4561e+06,
Orange-red,2042,Weißwangengans,4,,350418,287305,6.48631e+06,
blutrot,2076,Воробей,4,,768366,582595,4.59643e+06,
rouge,2085,Marreca-cabocla,1,Asiatic Lion,1.4904e+06,216108,1.17095e+06,
красный,2075,Malvasía Cabeciblanca,1,Clouded Leopard,1.31921e+06,892773,7.96096e+06,
Cerise,2051,Araqua-pintado,4,Asiatic Cheetah,1.51547e+06,339414,6.28179e+06,
Orange-red,2091,Araqua-pintado,2,Asiatic Lion,1.29368e+06,34827.7,3.60832e+06,
türkis,2036,Silbón Europeo,2,Cougar,466656,664299,94358.6,
ébène,2076,Malvasía Cabeciblanca,1,,2.57461e+06,327947,1.0158e+07,
fumée,2137,Puffin des Baléares,4,Mountain Lion,3.22795e+06,1.38586e+06,8.51633e+06,
schneeweiß,2080,Macreuse à bec jaune,2,,2.93454e+06,895884,2.52927e+06,
白湯,2069,Silbón Europeo,1,Leopard,1.67198e+06,998725,6.60018e+06,
zitronengelb,2034,Weißwangengans,1,Asiatic Cheetah,189651,55789,1.25419e+07,
türkis,2137,Pipit de Godlewski,0,,1.15995e+06,329413,4.71655e+06,
noir,2076,Ánsar Piquicorto,3,Lion,3.90479e+06,52671.7,909624,
schneeweiß,2115,Malvasía Cabeciblanca,1,Lion,1.1706e+06,925565,1.10211e+06,
