aa aa	647	71	132
aa aa	618	48	233
AbCdEfGhkJkLmN	644	9	402
aa aa	593	19	145
ABC_DEF	580	9	290
yellow	633	11	197
väri vihreä	585	93	95
--18--	615	108	291
seventeen	536	70	199
AbCdEfGhkJkLmN	506	101	250
ABC_DEF	621	33	380
z	645	24	405
aa aa	624	4	272
AbCdEfGhkJkLmN	570	33	211
aa aa	594	104	150
--18--	635	49	382
20-20-20	593	76	431
black	614	31	174
red	531	6	48
AbCdEfGhkJkLmN	621	62	327
15_15	618	16	422
weiß	542	56	190
seventeen	629	25	153
AbCdEfGhkJkLmN	637	12	116
yellow	624	68	199
z	617	10	162
red	649	21	235
日本語	647	46	447
aa aa	628	41	97
väri vihreä	627	50	138
yellow	637	19	325
aa aa	646	95	161
AbCdEfGhkJkLmN	559	57	102
red	648	70	34
AbCdEfGhkJkLmN	643	84	240
AbCdJkLm	591	101	327
red	626	8	357
20-20-20	535	39	364
aa aa	614	78	166
20-20-20	646	58	127
aa aa	562	41	302
AbCdJkLm	599	16	165
15_15	614	16	105
weiß	621	121	44
AbCdEfGhkJkLmN	619	30	230
red	636	91	109
yellow	631	13	547
yellow	639	12	401
grün	628	13	241
--18--	633	47	517
20-20-20	620	93	270
10-10-10	622	19	284
999	636	14	243
red	607	54	253
AbCdEfGhkJkLmN	600	15	293
ABC_DEF	599	37	39
AbCdEfGhkJkLmN	579	70	172
20-20-20	532	4	308
black	607	78	74
--18--	645	9	224
z	612	46	69
bcde	581	5	332
red	623	54	434
yellow	554	118	291
yellow	600	93	179
aa aa	607	48	350
--18--	649	58	342
z	609	34	188
z	582	88	375
AbCdJkLm	534	53	166
grün	575	34	80
red	567	87	71
black	626	10	233
AbCdEfGhkJkLmN	603	10	122
yellow	571	1	367
grün	639	37	173
z	572	95	183
weiß	565	122	139
black	609	48	103
red	629	44	81
yellow	613	131	172
AbCdJkLm	611	5	157
--18--	551	90	217
--18--	625	60	100
yellow	611	32	208
AbCdJkLm	605	108	78
日本語	628	101	261
grün	627	68	189
black	575	67	477
AbCdJkLm	612	59	352
yellow	644	66	303
black	595	47	417
z	617	68	252
yellow	612	58	428
z	626	14	109
z	603	65	41
aa aa	514	6	349
weiß	636	9	216
grün	580	37	110
20-20-20	639	13	225
weiß	625	51	140
--18--	615	96	212
AbCdJkLm	631	8	263
z	609	3	46
10-10-10	628	94	325
red	618	43	114
z	572	68	89
seventeen	566	58	89
yellow	541	6	248
z	640	60	224
AbCdEfGhkJkLmN	629	83	582
20-20-20	646	55	115
--18--	628	130	400
AbCdEfGhkJkLmN	540	57	300
15_15	647	43	186
grün	628	81	469
seventeen	636	16	165
--18--	646	5	364
ABC_DEF	587	13	15
aa aa	601	37	115
seventeen	649	110	288
bcde	597	4	15
grün	593	27	217
z	522	63	475
seventeen	648	6	190
bcde	595	26	154
red	625	34	69
15_15	626	135	441
yellow	589	61	134
red	629	8	98
AbCdEfGhkJkLmN	591	52	63
AbCdEfGhkJkLmN	649	43	333
AbCdEfGhkJkLmN	638	63	305
AbCdEfGhkJkLmN	574	16	304
red	547	24	70
seventeen	631	118	247
seventeen	551	85	53
yellow	605	25	133
AbCdJkLm	626	71	398
z	551	129	211
10-10-10	611	68	312
z	611	32	255
red	638	58	59
--18--	583	7	234
bcde	561	2	170
black	637	61	168
weiß	585	4	251
15_15	627	94	235
20-20-20	537	22	105
ABC_DEF	541	1	365
weiß	645	95	182
--18--	597	73	190
aa aa	552	85	125
bcde	582	29	236
AbCdEfGhkJkLmN	646	86	230
--18--	649	6	81
grün	602	116	92
yellow	596	47	390
black	591	7	53
z	620	14	313
z	627	62	259
AbCdJkLm	639	19	198
ABC_DEF	622	92	123
weiß	598	59	127
väri vihreä	619	33	130
z	624	36	170
ABC_DEF	643	80	580
z	532	41	326
black	641	7	174
black	548	127	480
yellow	553	34	362
weiß	550	61	262
väri vihreä	582	45	295
seventeen	604	63	32
black	595	56	49
日本語	609	93	142
20-20-20	648	89	165
grün	626	75	212
yellow	643	119	198
seventeen	552	4	86
AbCdEfGhkJkLmN	620	32	426
grün	594	91	297
AbCdEfGhkJkLmN	611	43	159
--18--	643	88	173
bcde	543	25	153
aa aa	596	29	70
10-10-10	599	104	436
yellow	581	83	79
|xyz|	616	105	73
grün	638	4	48
AbCdEfGhkJkLmN	627	31	85
grün	593	119	106
seventeen	587	24	119
weiß	623	99	111
AbCdJkLm	554	50	186
AbCdJkLm	595	3	471
20-20-20	645	45	189
AbCdEfGhkJkLmN	644	16	82
999	589	130	288
10-10-10	579	27	448
weiß	544	36	104
999	601	49	55
AbCdEfGhkJkLmN	599	10	326
AbCdEfGhkJkLmN	583	105	449
seventeen	545	51	228
20-20-20	532	45	120
999	595	70	349
AbCdEfGhkJkLmN	606	52	387
日本語	574	77	157
ABC_DEF	574	44	160
yellow	559	16	217
--18--	616	62	44
10-10-10	588	90	198
weiß	525	126	133
日本語	515	24	467
999	624	31	82
aa aa	631	1	300
AbCdEfGhkJkLmN	635	45	224
AbCdJkLm	571	2	105
z	646	78	263
aa aa	643	1	114
bcde	606	9	278
ABC_DEF	619	53	206
z	510	7	334
15_15	563	10	91
black	588	54	140
20-20-20	556	122	252
seventeen	541	40	330
aa aa	561	24	95
black	564	27	226
10-10-10	646	7	240
AbCdJkLm	581	49	223
black	617	23	471
AbCdJkLm	613	18	92
seventeen	549	124	152
AbCdEfGhkJkLmN	616	7	118
10-10-10	603	14	169
--18--	600	27	364
yellow	642	11	139
weiß	633	86	370
red	641	148	265
--18--	609	25	288
AbCdEfGhkJkLmN	611	1	113
10-10-10	609	59	84
--18--	606	67	422
yellow	514	64	292
--18--	640	13	247
--18--	572	119	415
10-10-10	642	98	251
20-20-20	588	36	50
aa aa	600	79	454
weiß	556	59	165
seventeen	553	26	202
väri vihreä	634	135	180
999	564	12	59
väri vihreä	633	26	262
AbCdEfGhkJkLmN	549	42	72
väri vihreä	648	41	135
AbCdJkLm	550	75	246
weiß	541	18	244
--18--	615	16	203
999	642	48	54
999	634	11	349
AbCdEfGhkJkLmN	515	60	177
weiß	580	7	116
999	608	72	483
yellow	574	13	333
weiß	628	17	322
AbCdEfGhkJkLmN	620	60	207
20-20-20	568	14	368
z	648	135	123
AbCdJkLm	596	52	112
red	611	72	196
bcde	626	38	151
red	648	5	183
日本語	622	3	302
väri vihreä	558	21	178
20-20-20	595	65	372
